title,link,author,pubDate,description,text
['z.maghzaoui référendum tracer voir l ’ instauration social-démocrate tunisie'],https://africanmanager.com/z-maghzaoui-le-referendum-a-trace-la-voie-a-linstauration-de-la-social-democrate-en-tunisie/,['African Manager'],"['sun', 'Jul 14:50:09 +0000']",['secrétaire général Mouvement Echaab zouhair Maghzaoui 160;appeler dimanche 160;ceux doutent l&8217;intégrité résultat référendum projet constitution saisir justice déclaration quotidien echourouk ajouter 160;nous considéron référendum étape important l&8217;histoire Tunisie'],
['saisir recours contre résultat référendum'],https://africanmanager.com/le-ta-se-saisit-de-trois-recours-contre-les-resultats-du-referendum%ef%bf%bc/,['am TAP'],"['sun', 'Jul 12:53:50', '+0000']","['Tribunal administratif appeler l&8217;instance supérieur indépendant élection isie comparaître s&8217;être saisi recours tendre contester résultat référendum annoncer porte-parol officiel l&8217;instance électoral', 'Mohamed', 'Tlili', 'Mansri', 'déclaration l&8217;agence TAP samedi', 'Mansri préciser \xa0   huissier justice informer']",
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
title,link,author,pubDate,description,text
